"","Ctrl_0h_1","Ctrl_0h_2","Ctrl_0h_3","0_25_FCS_8h_1","0_25_FCS_8h_2","0_25_FCS_8h_3","0_25_FCS_72h_1","0_25_FCS_72h_2","0_25_FCS_72h_3","0_25_FCS_5d_1","0_25_FCS_5d_2","0_25_FCS_5d_3","10_FCS_5d_8h_1","10_FCS_5d_8h_2","10_FCS_5d_8h_3","10_FCS_6d_1","10_FCS_6d_2","10_FCS_6d_3","10_FCS_7d_1","10_FCS_7d_2","10_FCS_7d_3"
"Myf5",13.5586875894232,13.9139623956014,13.5732214473522,14.1814184629814,14.3983385054872,14.2139107130212,15.4037393351053,15.6099019508083,15.6234543280734,15.6750386538597,15.5228613112897,15.7652207910553,13.2496445627177,13.5847091390656,13.4174775744887,15.1212357684221,16.0480826908457,15.7710772695854,15.9211280523723,15.7405164991505,15.8077203253423
"Myog",7.24163715561596,7.32647793538921,7.12710992656445,8.87227709532994,8.44609262796692,8.4773150051581,14.8095220148086,15.3840806449397,15.3792116533654,15.5637772945387,15.4229548988595,15.6411521542662,14.4532829100559,14.1715386612226,14.2288487113528,13.7514189738593,14.2120295990813,13.9690999289884,14.5525109622207,15.6584230042115,14.9966218437535
"Myf6",6.66653361607573,6.84930025623519,6.96549243062788,6.80323155817192,6.73988531105937,6.7522763000406,7.66760618904087,8.06716082390098,8.01844402619198,12.1045511557476,11.926955632864,11.9466745634292,11.0147685124985,11.231807188394,11.1817507583257,12.0197619472739,13.236887640615,12.6687545588051,12.9346998754982,12.925618656218,12.7283168380558
